"","class","reference","method","size","set","precision","recall","f1","accuracy"
"618","B cell","PBMC10x","SingleR",38,7,0.960287443267776,0.952005999250094,0.956128789305215,0.952005999250094
"619","B cell","PBMC10x","SingleR",38,8,0.932263814616756,0.980502437195351,0.95577485380117,0.980502437195351
"620","B cell","PBMC10x","SingleR",38,9,0.923297491039426,0.965879265091864,0.944108484515301,0.965879265091864
"621","B cell","PBMC10x","SingleR",500,1,0.920210611583637,0.851893513310836,0.884735202492212,0.851893513310836
"622","B cell","PBMC10x","SingleR",500,10,0.901762279715036,0.901762279715036,0.901762279715036,0.901762279715036
"623","B cell","PBMC10x","SingleR",500,11,0.918940609951846,0.858642669666292,0.88776894747044,0.858642669666292
"624","B cell","PBMC10x","SingleR",500,12,0.932291666666667,0.872515935508062,0.901413906643424,0.872515935508062
"625","B cell","PBMC10x","SingleR",500,13,0.915809523809524,0.901387326584177,0.90854119425548,0.901387326584177
"626","B cell","PBMC10x","SingleR",500,14,0.918581217251108,0.854518185226847,0.885392385392385,0.854518185226847
"627","B cell","PBMC10x","SingleR",500,15,0.897082018927445,0.853018372703412,0.874495483374976,0.853018372703412
"628","B cell","PBMC10x","SingleR",500,16,0.927993527508091,0.860142482189726,0.892780696633586,0.860142482189726
"629","B cell","PBMC10x","SingleR",500,17,0.930042751651768,0.897262842144732,0.913358778625954,0.897262842144732
"630","B cell","PBMC10x","SingleR",500,18,0.92902711323764,0.873640794900637,0.900483091787439,0.873640794900637
"631","B cell","PBMC10x","SingleR",500,19,0.930897537728356,0.878890138732658,0.904146576663452,0.878890138732658
"632","B cell","PBMC10x","SingleR",500,2,0.917471819645733,0.854518185226847,0.884876722966414,0.854518185226847
"633","B cell","PBMC10x","SingleR",500,20,0.92022792022792,0.847769028871391,0.882513661202186,0.847769028871391
"634","B cell","PBMC10x","SingleR",500,3,0.909705648369133,0.857517810273716,0.882841150357074,0.857517810273716
"635","B cell","PBMC10x","SingleR",500,4,0.9170692431562,0.854143232095988,0.884488448844884,0.854143232095988
"636","B cell","PBMC10x","SingleR",500,5,0.925101214574899,0.856767904011999,0.889624294335215,0.856767904011999
"637","B cell","PBMC10x","SingleR",500,6,0.931647570130383,0.884139482564679,0.907272027702963,0.884139482564679
"638","B cell","PBMC10x","SingleR",500,7,0.910699919549477,0.848893888263967,0.878711430234815,0.848893888263967
"639","B cell","PBMC10x","SingleR",500,8,0.928198957079823,0.867641544806899,0.896899224806202,0.867641544806899
"640","B cell","PBMC10x","SingleR",500,9,0.928120063191153,0.88113985751781,0.904020003846894,0.88113985751781
"641","B cell","PBMC10x","ItClust",100,1,0.983606557377049,0.989876265466817,0.986731452065035,0.989876265466817
"642","B cell","PBMC10x","ItClust",100,10,0.985035540591096,0.987251593550806,0.986142322097378,0.987251593550806
"643","B cell","PBMC10x","ItClust",100,11,0.985409652076319,0.987626546681665,0.986516853932584,0.987626546681665
"644","B cell","PBMC10x","ItClust",100,12,0.983208955223881,0.988001499812523,0.98559940153357,0.988001499812523
"645","B cell","PBMC10x","ItClust",100,13,0.983973164368245,0.989876265466817,0.986915887850467,0.989876265466817
"646","B cell","PBMC10x","ItClust",100,14,0.983233979135618,0.989501312335958,0.986357690151374,0.989501312335958
"647","B cell","PBMC10x","ItClust",100,15,0.986183719193428,0.990251218597675,0.98821328344247,0.990251218597675
"648","B cell","PBMC10x","ItClust",100,16,0.986501687289089,0.986501687289089,0.986501687289089,0.986501687289089
"649","B cell","PBMC10x","ItClust",100,17,0.983606557377049,0.989876265466817,0.986731452065035,0.989876265466817
"650","B cell","PBMC10x","ItClust",100,18,0.982848620432513,0.988376452943382,0.985604785941298,0.988376452943382
"651","B cell","PBMC10x","ItClust",100,19,0.983967188665175,0.989501312335958,0.986726490932885,0.989501312335958
"652","B cell","PBMC10x","ItClust",100,2,0.986906098017209,0.989126359205099,0.988014981273408,0.989126359205099
"653","B cell","PBMC10x","ItClust",100,20,0.986537023186238,0.989126359205099,0.987829994383074,0.989126359205099
"654","B cell","PBMC10x","ItClust",100,3,0.989064856711916,0.98350206224222,0.98627561571724,0.98350206224222
"655","B cell","PBMC10x","ItClust",100,4,0.981391886862672,0.988751406074241,0.985057900635039,0.988751406074241
"656","B cell","PBMC10x","ItClust",100,5,0.981426448736998,0.990626171728534,0.986004851651427,0.990626171728534
"657","B cell","PBMC10x","ItClust",100,6,0.985799701046338,0.989126359205099,0.987460228336141,0.989126359205099
"658","B cell","PBMC10x","ItClust",100,7,0.986501687289089,0.986501687289089,0.986501687289089,0.986501687289089
"659","B cell","PBMC10x","ItClust",100,8,0.984322508398656,0.988751406074241,0.986531986531987,0.988751406074241
"660","B cell","PBMC10x","ItClust",100,9,0.987237237237237,0.98612673415823,0.986681673232039,0.98612673415823
"661","B cell","PBMC10x","ItClust",1000,1,NA,NA,NA,NA
